Model,Sales,Type
Ural 55732,1,ZZZ
Ural 5677,1,ZZZ
Venucia R50,1,ZZZ
Volvo S80,1,ZZZ
Volvo V60 CC,1,ZZZ
Weichai Enranger 737,1,ZZZ
Zhidou D2S,1,ZZZ
Zotye Z500,1,ZZZ
Abarth 124 Spider,0,ZZZ
Acura TLX-L,0,ZZZ
Alfa Romeo Mi.To,0,ZZZ
Alpina B3,0,ZZZ
Alpina B4,0,ZZZ
Alpina B4 Biturbo,0,ZZZ
Alpina B7 Biturbo,0,ZZZ
Alpina XD4,0,SUV
Amatør Bil AK Sportscar,0,ZZZ
Amatør Bil GBS Zero,0,ZZZ
Amatør Bil Hotrod,0,ZZZ
Amatør Bil Trysil,0,ZZZ
Amatorbygge,0,ZZZ
Arctic Cat Alterra,0,ZZZ
BAIC EX5,0,ZZZ
Baojun Yuechi (Spark),0,ZZZ
Beijing 007,0,ZZZ
Beijing Hyosow H3,0,ZZZ
Beijing Hyosow H5,0,ZZZ
Beijing Hyosow S2,0,ZZZ
Beijing Hyosow S5,0,ZZZ
Beijing Hyosow S6,0,ZZZ
Beijing Hyosow S7,0,ZZZ
Beijing Knight,0,ZZZ
Beijing Luba,0,ZZZ
Beijing Senova D80,0,ZZZ
Beijing Senova X65,0,ZZZ
Beijing Senova Zhixing,0,ZZZ
Beijing Weiwang 306,0,ZZZ
Beijing Weiwang M20,0,ZZZ
Beijing Weiwang S50,0,ZZZ
Bisu M3,0,ZZZ
Bisu T3,0,SUV
BMW 2 Series Gran Tourer,0,ZZZ
BMW 5 Series GT,0,ZZZ
BMW Alpina B7,0,ZZZ
BMW M6,0,ZZZ
BMW Z3,0,ZZZ
Borgward BX6,0,ZZZ
Brilliance H3,0,ZZZ
Brilliance H330,0,ZZZ
Brilliance Junjie (BS4),0,ZZZ
Brilliance Junjie FSV,0,ZZZ
Brilliance V5,0,ZZZ
Buick Cascada,0,ZZZ
Bus Sprinter,0,ZZZ
BYD G5,0,ZZZ
BYD L3,0,ZZZ
BYD S6,0,ZZZ
Bygg Bil Caterham,0,ZZZ
Bygg Bil GT40,0,ZZZ
Bygg Bil Super Seven,0,ZZZ
Bygg Bil Vortex V2,0,ZZZ
Bygg Bill Roadster,0,ZZZ
Cadillac ATS,0,ZZZ
CF Moto CForce 600,0,ZZZ
Chana Raesor M70,0,ZZZ
Chana Raesor M80,0,ZZZ
Chana Raesor S50T,0,ZZZ
Chana Star 3,0,ZZZ
Changan Benben Love/i,0,ZZZ
Changan CX20,0,ZZZ
Changhe Freedom M70,0,ZZZ
Changhe Q25,0,ZZZ
Chery Arrizo 3,0,ZZZ
Chery Arrizo M7,0,ZZZ
Chery EQ,0,ZZZ
Chery Fulwin 2,0,ZZZ
Chevrolet City Express,0,ZZZ
Chevrolet Lova RV,0,ZZZ
Chevrolet Volt,0,ZZZ
Chrysler 300C,0,ZZZ
Citroen C-Quatre,0,ZZZ
Citroen E-Mehari,0,ZZZ
Cowin V3,0,ZZZ
Daewoo BC 211 MA,0,ZZZ
Daewoo BS 106 A/D,0,ZZZ
Daewoo Matiz,0,ZZZ
Dangel Expert,0,ZZZ
DFSK C Series,0,ZZZ
Divinci Classic,0,ZZZ
Doda V8,0,ZZZ
Dodge Caliber,0,ZZZ
Dodge JCUV,0,ZZZ
Dongfeng E70,0,ZZZ
Dongfeng Fengdu MX6,0,SUV
Dongfeng Fengshen A30,0,ZZZ
Dongfeng Fengshen A9,0,ZZZ
Dongfeng Fengshen AX3,0,ZZZ
Dongfeng Fengshen E30,0,ZZZ
Dongfeng Fengshen H30/S30,0,ZZZ
Dongfeng Fengshen L60,0,ZZZ
Dongfeng Fengxing Jingye X3,0,ZZZ
Dongfeng Fengxing Jingye X7,0,ZZZ
Dongfeng Fengxing M6,0,ZZZ
Dongfeng Xiaokang EC35,0,ZZZ
DR 3,0,SUV
Eagle EG2048HCXR-02,0,ZZZ
Eagle European Business Car,0,ZZZ
Esagono Energi Geco,0,ZZZ
Everus S1,0,ZZZ
FAW Bestune B90,0,ZZZ
FAW Besturn B50,0,ZZZ
FAW Jilin Senia M80,0,ZZZ
FAW Jilin Senia R9,0,ZZZ
FAW Jilin Senia S80,0,ZZZ
FAW Jumpal A50,0,ZZZ
FAW Jumpal A70,0,ZZZ
FAW Jumpal CX65,0,ZZZ
FAW Jumpal D60,0,ZZZ
FAW Jumpal D80,0,ZZZ
FAW Weizhi V5,0,ZZZ
Feishen Mondial,0,ZZZ
Ferrari California,0,ZZZ
Ferrari F12,0,ZZZ
Ferrari GTC4LUSSO T,0,ZZZ
Ferrari La Ferrari,0,ZZZ
Ferrari LaFerrari,0,ZZZ
Ferrari Monza SP2,0,ZZZ
Ferrari Tributo,0,ZZZ
Fiat Bravo,0,ZZZ
Fiat Coupe,0,ZZZ
Fiat Freemont,0,ZZZ
Fiat Ottimo,0,ZZZ
Fiat Punto,0,ZZZ
Fiat Viaggio,0,ZZZ
Fisker Karma,0,ZZZ
Foday Landfort,0,SUV
Ford Crown Victoria,0,ZZZ
Ford E-350,0,ZZZ
Ford Flex,0,ZZZ
Ford Focus ST,0,ZZZ
Ford Ka+,0,ZZZ
Ford Mondeo Zhisheng,0,ZZZ
Foton BJ Series,0,ZZZ
Foton Fengjing V3,0,ZZZ
Foton Fengjing V5,0,ZZZ
Foton Gratour GT,0,ZZZ
Foton Gratour im6,0,ZZZ
Foton Gratour im8,0,ZZZ
Foton View,0,ZZZ
FQT Motor V60,0,ZZZ
GAC Trumpchi GA3S,0,ZZZ
GAC Trumpchi GA5,0,ZZZ
GAC Trumpchi GS5 Super,0,ZZZ
Garia G22,0,ZZZ
Geely EX3,0,ZZZ
Geely Freedom Ship,0,ZZZ
Geely GX7,0,ZZZ
Geely Panda,0,ZZZ
Great Wall Haval M4,0,ZZZ
Haima M6,0,ZZZ
Haima M8,0,ZZZ
Haima S5 Young,0,SUV
Harley Davidson Flhtcutg,0,ZZZ
Haval H1,0,ZZZ
Haval H2s,0,ZZZ
Hawtai (Baolige) B35,0,ZZZ
Hawtai B11,0,ZZZ
Hawtai Lusheng E70,0,ZZZ
Hawtai Lusheng E80,0,ZZZ
Hawtai Santa Fe 7,0,ZZZ
Hawtai Santa Fe Classic,0,ZZZ
Hawtai xEV260,0,ZZZ
Holden Acadia,0,ZZZ
Holden Astra,0,ZZZ
Holden Colorado,0,Pickup Truck
Holden Commodore,0,ZZZ
Holden Equinox,0,ZZZ
Holden Trailblazer,0,ZZZ
Holden Trax,0,ZZZ
Honda Brio Amaze,0,ZZZ
Honda CR-Z,0,ZZZ
Honda Spirior,0,ZZZ
Hsun HS,0,ZZZ
Huyndai H350,0,ZZZ
Hyundai Elantra Langdong,0,ZZZ
Hyundai Elantra Yuedong,0,ZZZ
Hyundai Equus,0,ZZZ
Hyundai H1-Starex,0,ZZZ
Hyundai i40,0,ZZZ
Hyundai iX20,0,ZZZ
Hyundai Sonata 8,0,ZZZ
Indusauto E220D,0,ZZZ
Infiniti ESQ,0,SUV
Infiniti FX,0,ZZZ
Infiniti Q30/QX30,0,ZZZ
Infiniti QX70,0,ZZZ
Isuzu Forward ,0,ZZZ
Isuzu NPS,0,ZZZ
Isuzu Panther,0,ZZZ
Isuzu Panther Pickup,0,ZZZ
Isuzu Simaz,0,ZZZ
JAC Heyue A30,0,ZZZ
Jac HFC Series,0,ZZZ
JAC iEV7L,0,ZZZ
JAC iEVA60,0,ZZZ
JAC IEVS4,0,ZZZ
JAC Jiayue X8,0,ZZZ
JAC N75,0,ZZZ
JAC Refine A60,0,ZZZ
JAC Refine R3,0,ZZZ
JAC Refine S2 mini,0,ZZZ
JAC Refine S5,0,ZZZ
Jaguar XJL,0,ZZZ
Jiayuan JY7222,0,ZZZ
Jinbei 750,0,ZZZ
Jinbei S35,0,ZZZ
JMC Yusheng S330,0,ZZZ
Joylong iFly,0,ZZZ
Kabe TM CX 740 LGB,0,ZZZ
KAMAZ 43118,0,ZZZ
KAMAZ 43120,0,ZZZ
KAMAZ 43121,0,ZZZ
KAMAZ 43122,0,ZZZ
KAMAZ 43123,0,ZZZ
KAMAZ 43253,0,ZZZ
KAMAZ 4326,0,ZZZ
KAMAZ 45141,0,ZZZ
KAMAZ 45143,0,ZZZ
KAMAZ 45144,0,ZZZ
KAMAZ 5308,0,ZZZ
KAMAZ 65111,0,ZZZ
KAMAZ 65115,0,ZZZ
KAMAZ 65116,0,ZZZ
KAMAZ 65117,0,ZZZ
KAMAZ 65806,0,ZZZ
KAMAZ АТЗ-10,0,ZZZ
KAMAZ АТЗ-11,0,ZZZ
KAMAZ АТЗ-15,0,ZZZ
KAMAZ КО 504АМ1 ,0,ZZZ
KAMAZ КО 512АМ1 ,0,ZZZ
KAMAZ КС-45717К-1 ,0,ZZZ
KAMAZ КС-45717К-3,0,ZZZ
KAMAZ КС-55732,0,ZZZ
KAMAZ МВ-10Д,0,ZZZ
Kandi EX3,0,ZZZ
Karry Youyou 2,0,ZZZ
Kawei W1,0,SUV
Kia Carens,0,ZZZ
Kia K4,0,ZZZ
Kia Venga,0,ZZZ
Kia VQ,0,ZZZ
Kymco KKR,0,ZZZ
Lada 4×4 Urban,0,ZZZ
Lada 4×4/Niva,0,ZZZ
Landwind Happy,0,ZZZ
Landwind X2,0,SUV
Landwind X5,0,ZZZ
Landwind X7,0,ZZZ
Landwind X8,0,SUV
Leopaard Feiteng C5,0,ZZZ
Leopaard Kingbox DUV,0,ZZZ
Leopaard Q6,0,ZZZ
Lexus IS300h,0,ZZZ
Lexus LFA,0,ZZZ
Lexus RC F,0,ZZZ
Lifan 330,0,ZZZ
Lifan 620,0,ZZZ
Lifan 720,0,ZZZ
Lifan Lotto,0,ZZZ
Lifan Myway,0,ZZZ
Lifan X80,0,ZZZ
Lifan Xuanlang,0,ZZZ
Lincoln MKT,0,ZZZ
Linhai LH260,0,ZZZ
Link Tour K-ONE,0,ZZZ
Lotus Evora Sport 410,0,ZZZ
Luxgen 3 Sedan,0,ZZZ
Luxgen 7 SUV,0,ZZZ
Lvtong Golf Car,0,ZZZ
Mahindra TUV300,0,ZZZ
Mahindra Verito+Vibe,0,ZZZ
Mahindra Xylo,0,Van
Maruti Gypsy,0,ZZZ
Maserati Gran Cabrio,0,ZZZ
Maserati Gran Turismo,0,ZZZ
Maserati GranSport,0,ZZZ
Maserati Granturismo,0,ZZZ
Maxus V90,0,ZZZ
Maxus Van,0,ZZZ
McLaren 540C,0,ZZZ
McLaren 625C,0,ZZZ
McLaren 650S,0,ZZZ
Mercedes AMG C,0,ZZZ
Mercedes AMG CLS,0,ZZZ
Mercedes AMG E,0,ZZZ
Mercedes AMG G,0,ZZZ
Mercedes AMG GL-Class,0,ZZZ
Mercedes AMG GLS,0,ZZZ
Mercedes AMG GT C,0,ZZZ
Mercedes AMG GT S,0,ZZZ
Mercedes GL,0,ZZZ
Mercedes GL-Class,0,ZZZ
Mercedes GLK,0,ZZZ
Mercedes M-Class,0,ZZZ
Mercedes SLK,0,ZZZ
Mercedes SLK-Class,0,ZZZ
Mercedes SLS AMG,0,ZZZ
Mercedes Tourismo,0,ZZZ
Mercedes Viano,0,ZZZ
Mercus Sprinter,0,ZZZ
MG 3,0,ZZZ
MG 3SW,0,ZZZ
Mini Paceman (e),0,ZZZ
Mitsubishi Galant,0,ZZZ
Mitsubishi Lancer,0,ZZZ
Mitsubishi Montero,0,ZZZ
Mitsubishi Zinger,0,ZZZ
Morgan Classics,0,ZZZ
Morgan Roadster,0,ZZZ
Navya Shuttle,0,ZZZ
Nissan NV2500,0,Van
Nissan Paladin,0,ZZZ
Nissan Versa Note,0,ZZZ
Opel Adam,0,ZZZ
ORA iQ,0,SUV
ORA R1,0,ZZZ
Peugeot 107,0,ZZZ
Peugeot 207cc,0,ZZZ
Peugeot 308S,0,ZZZ
Polaris Scrambler,0,ZZZ
Polaris Sportsman,0,ZZZ
Qoros 3 GT,0,ZZZ
Qoros 3 SUV,0,ZZZ
Ram Cargo Van,0,ZZZ
Red Star Shining X2,0,ZZZ
Renault Latitude,0,ZZZ
Roewe 950,0,ZZZ
Roewe E50,0,ZZZ
Samsung SM3,0,ZZZ
Sokon S513,0,ZZZ
Soueast V3 Lingyue,0,ZZZ
Soueast V6 Lingshi,0,ZZZ
SsangYong,0,ZZZ
SsangYong Musso,0,Pickup Truck
Ssangyong Rexton II,0,ZZZ
Ssangyong Rexton W,0,ZZZ
Ssangyong Tivoli XLV,0,ZZZ
Subaru Dias Wagon,0,ZZZ
Subaru R2,0,ZZZ
Subaru WRX STI,0,ZZZ
SUDA SA01,0,ZZZ
Suzuki Liana,0,ZZZ
Suzuki Liana A6,0,ZZZ
SWM X3,0,SUV
Tata Bolt,0,ZZZ
Tata Hexa,0,ZZZ
Tata Iris,0,ZZZ
Tata Zest,0,ZZZ
TechArt T7,0,ZZZ
Toyota Auris,0,ZZZ
Toyota Avensis,0,ZZZ
Toyota Corolla EX,0,ZZZ
Toyota iQ,0,ZZZ
Toyota Previa,0,Van
Traum MEET5,0,ZZZ
Traum S70,0,ZZZ
Traum SEEK 5,0,ZZZ
UAZ,0,ZZZ
UAZ Hunter,0,ZZZ
Venucia D50,0,ZZZ
Venucia M50V,0,ZZZ
Volvo V70,0,ZZZ
VW Ameo,0,ZZZ
VW Gran Lavida,0,ZZZ
VW Polo Jinqu/Jinqing,0,ZZZ
VW Scirocco,0,ZZZ
Weichai Enranger EX1 EV,0,ZZZ
Weichai Enranger G3,0,ZZZ
Weichai Enranger G5,0,ZZZ
WEY P8,0,ZZZ
Yema F99,0,ZZZ
Yutong 6938HB9,0,ZZZ
Zhi Dou D1 EV,0,ZZZ
Zhongtong LCK6860HGN,0,ZZZ
Zinoro 60H,0,ZZZ
Zotye Cloud 100EV,0,ZZZ
Zotye T600,0,SUV
Zotye T800,0,ZZZ
Zotye Z100,0,ZZZ
Zotye Z360,0,ZZZ
Zotye Z560,0,ZZZ
МАZ 6501H9,0,ZZZ
